execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
227,728972872005b86d596c098d58d472205d23730cf4952a806ba995fa3787ac9f,c96af56890cc2acc62a704233a9b98a02c78ec579bcd44fef41a161b703fad6f,scalar.boundary.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
228,f898ea429bf4ab3806308aa073ab94e87ddcf1277165ca35514eb394604e6987,728972872005b86d596c098d58d472205d23730cf4952a806ba995fa3787ac9f,sequence.insert.v1,0,false,COMPLETE,
229,19b315d145b9def8f212fec8ebed54350117e2bb8e5ae24e48c36bbe095c5465,731bfadc7e18236d7f1a3b8d90bb1fc126c0c62932af19b2e7845b824d83d321,sequence.swap-adjacent.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
230,e1ac9ecfe397640961fd344773112b6c628528e8f4c9d8a473e4c228fc2f8112,19b315d145b9def8f212fec8ebed54350117e2bb8e5ae24e48c36bbe095c5465,sequence.insert.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
231,f74477f50423a7aec3dec3c1fdc05c4814cf695e91f51f397a360106528789f5,e1ac9ecfe397640961fd344773112b6c628528e8f4c9d8a473e4c228fc2f8112,sequence.swap-adjacent.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
232,4709c51434a6347957227103676a38b4c421d346b0544b737f3c89643871a49f,f74477f50423a7aec3dec3c1fdc05c4814cf695e91f51f397a360106528789f5,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
233,d107ddbe245e4b313cb8287f0b555cecb545d1b0adfe021463da6220068cff31,4709c51434a6347957227103676a38b4c421d346b0544b737f3c89643871a49f,scalar.boundary.v1,1,true,COMPLETE,
234,4b8cd622bca191e75bbc29918ce4506b4bc5e5078ea5cdd597e6bba1946bdca5,883b510e868fc7fb74b7779529fd50a525fcab9d2dc498015528a4521a140798,sequence.delete.v1,0,false,COMPLETE,
235,7dcd803b2b3064101d10bf731f3240a4215bbdcb4dfdaf7cf735b730e3283c53,0fb9114466a735958cb0cccca5e95351a6e4bd4895bb989c704a53db72664c95,sequence.insert.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
236,44b8084c79979ec37734cc33b4caf5640cfa69e42c91bb9462bf264805cbaf74,7dcd803b2b3064101d10bf731f3240a4215bbdcb4dfdaf7cf735b730e3283c53,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
237,759a5348548984037e4a9799e56b5aed5e5d827549dd5fa2c8f0d5ec11937eb6,44b8084c79979ec37734cc33b4caf5640cfa69e42c91bb9462bf264805cbaf74,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
238,a68681e2b96d56ba9fff87f82d678d7808b1921f5b7b7d6b68410f535da19ae6,759a5348548984037e4a9799e56b5aed5e5d827549dd5fa2c8f0d5ec11937eb6,sequence.insert.v1,0,false,COMPLETE,
239,38fce4fb976c4252006ba9f52e255df11e70da1becb06d5e486358f5c7ae03c6,41298d45db622ebd3b678e79edaf3bb959dbdb51837d0865b26644c04e564a5a,sequence.swap-adjacent.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
240,d4633cfb2f5d225e9d6a9eba9e5463de755220e25d39ef4a5f0156a96480c772,38fce4fb976c4252006ba9f52e255df11e70da1becb06d5e486358f5c7ae03c6,sequence.swap-adjacent.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
241,902d303b6bb28d0ab8da063a7fa938db21e44372b102cb30cdcc1a62a59e17c5,d4633cfb2f5d225e9d6a9eba9e5463de755220e25d39ef4a5f0156a96480c772,buffer.block.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
242,08f1be5e19a4a6efe6dc855f6a721bd0bc746f4e32554038d84950df8d81be93,902d303b6bb28d0ab8da063a7fa938db21e44372b102cb30cdcc1a62a59e17c5,scalar.boundary.v1,0,false,COMPLETE,
243,dd1e1654e266d2bd3d254c24159d811fca8669592bfd1f0a537dd5bbc2fa0e20,084ff50cda7be1366c3739c7ab73a713dd8cea35393874ade0c6a0a7661bad99,scalar.boundary.v1,0,true,SYNTHETIC_FAILURE,c16b0923faeafce6e8196416e81c29d76ea01fa379e562fa7c785b373f6cf1db
